2019-12-16 13:14:45 startup archives install
2019-12-16 13:14:45 install base-passwd:amd64 <none> 3.5.44
2019-12-16 13:14:45 status half-installed base-passwd:amd64 3.5.44
2019-12-16 13:14:46 status unpacked base-passwd:amd64 3.5.44
2019-12-16 13:14:46 status unpacked base-passwd:amd64 3.5.44
2019-12-16 13:14:46 configure base-passwd:amd64 3.5.44 3.5.44
2019-12-16 13:14:46 status unpacked base-passwd:amd64 3.5.44
2019-12-16 13:14:46 status half-configured base-passwd:amd64 3.5.44
2019-12-16 13:14:46 status installed base-passwd:amd64 3.5.44
2019-12-16 13:14:46 startup archives install
2019-12-16 13:14:46 install base-files:amd64 <none> 10.1ubuntu2
2019-12-16 13:14:46 status half-installed base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 configure base-files:amd64 10.1ubuntu2 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:47 status half-configured base-files:amd64 10.1ubuntu2
2019-12-16 13:14:48 status installed base-files:amd64 10.1ubuntu2
2019-12-16 13:14:48 startup archives install
2019-12-16 13:14:48 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-12-16 13:14:48 status half-configured dpkg 1.19.0.5ubuntu2
2019-12-16 13:14:48 status unpacked dpkg 1.19.0.5ubuntu2
2019-12-16 13:14:48 status half-installed dpkg 1.19.0.5ubuntu2
2019-12-16 13:14:49 status half-installed dpkg 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 configure dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:49 status installed dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:14:50 startup archives install
2019-12-16 13:14:50 install libc6:amd64 <none> 2.27-3ubuntu1
2019-12-16 13:14:50 status half-installed libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:51 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:51 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:51 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2019-12-16 13:14:51 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:51 status unpacked libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:51 status half-configured libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:51 status installed libc6:amd64 2.27-3ubuntu1
2019-12-16 13:14:52 startup archives install
2019-12-16 13:14:52 install perl-base:amd64 <none> 5.26.1-6
2019-12-16 13:14:52 status half-installed perl-base:amd64 5.26.1-6
2019-12-16 13:14:52 status unpacked perl-base:amd64 5.26.1-6
2019-12-16 13:14:52 status unpacked perl-base:amd64 5.26.1-6
2019-12-16 13:14:52 configure perl-base:amd64 5.26.1-6 5.26.1-6
2019-12-16 13:14:52 status unpacked perl-base:amd64 5.26.1-6
2019-12-16 13:14:52 status half-configured perl-base:amd64 5.26.1-6
2019-12-16 13:14:52 status installed perl-base:amd64 5.26.1-6
2019-12-16 13:14:52 startup archives install
2019-12-16 13:14:53 install mawk:amd64 <none> 1.3.3-17ubuntu3
2019-12-16 13:14:53 status half-installed mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:14:53 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:14:53 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:14:53 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-12-16 13:14:53 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:14:53 status half-configured mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:14:53 status installed mawk:amd64 1.3.3-17ubuntu3
2019-12-16 13:14:53 startup archives install
2019-12-16 13:14:53 install debconf:all <none> 1.5.66
2019-12-16 13:14:53 status half-installed debconf:all 1.5.66
2019-12-16 13:14:54 status unpacked debconf:all 1.5.66
2019-12-16 13:14:54 status unpacked debconf:all 1.5.66
2019-12-16 13:14:54 configure debconf:all 1.5.66 1.5.66
2019-12-16 13:14:54 status unpacked debconf:all 1.5.66
2019-12-16 13:14:54 status unpacked debconf:all 1.5.66
2019-12-16 13:14:54 status unpacked debconf:all 1.5.66
2019-12-16 13:14:54 status half-configured debconf:all 1.5.66
2019-12-16 13:14:54 status installed debconf:all 1.5.66
2019-12-16 13:14:54 startup archives unpack
2019-12-16 13:14:55 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2019-12-16 13:14:55 status half-configured base-files:amd64 10.1ubuntu2
2019-12-16 13:14:55 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:55 status half-installed base-files:amd64 10.1ubuntu2
2019-12-16 13:14:55 status half-installed base-files:amd64 10.1ubuntu2
2019-12-16 13:14:55 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:55 status unpacked base-files:amd64 10.1ubuntu2
2019-12-16 13:14:55 upgrade base-passwd:amd64 3.5.44 3.5.44
2019-12-16 13:14:55 status half-configured base-passwd:amd64 3.5.44
2019-12-16 13:14:55 status unpacked base-passwd:amd64 3.5.44
2019-12-16 13:14:56 status half-installed base-passwd:amd64 3.5.44
2019-12-16 13:14:56 status half-installed base-passwd:amd64 3.5.44
2019-12-16 13:14:56 status unpacked base-passwd:amd64 3.5.44
2019-12-16 13:14:56 status unpacked base-passwd:amd64 3.5.44
2019-12-16 13:14:56 install bash:amd64 <none> 4.4.18-2ubuntu1
2019-12-16 13:14:56 status half-installed bash:amd64 4.4.18-2ubuntu1
2019-12-16 13:14:56 status unpacked bash:amd64 4.4.18-2ubuntu1
2019-12-16 13:14:56 status unpacked bash:amd64 4.4.18-2ubuntu1
2019-12-16 13:14:57 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2019-12-16 13:14:57 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2019-12-16 13:14:57 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2019-12-16 13:14:57 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2019-12-16 13:14:57 install coreutils:amd64 <none> 8.28-1ubuntu1
2019-12-16 13:14:57 status half-installed coreutils:amd64 8.28-1ubuntu1
2019-12-16 13:14:58 status unpacked coreutils:amd64 8.28-1ubuntu1
2019-12-16 13:14:58 status unpacked coreutils:amd64 8.28-1ubuntu1
2019-12-16 13:14:58 install dash:amd64 <none> 0.5.8-2.10
2019-12-16 13:14:58 status half-installed dash:amd64 0.5.8-2.10
2019-12-16 13:14:58 status unpacked dash:amd64 0.5.8-2.10
2019-12-16 13:14:59 status unpacked dash:amd64 0.5.8-2.10
2019-12-16 13:14:59 upgrade debconf:all 1.5.66 1.5.66
2019-12-16 13:14:59 status half-configured debconf:all 1.5.66
2019-12-16 13:14:59 status unpacked debconf:all 1.5.66
2019-12-16 13:14:59 status half-installed debconf:all 1.5.66
2019-12-16 13:14:59 status half-installed debconf:all 1.5.66
2019-12-16 13:14:59 status unpacked debconf:all 1.5.66
2019-12-16 13:14:59 status unpacked debconf:all 1.5.66
2019-12-16 13:15:00 install debianutils:amd64 <none> 4.8.4
2019-12-16 13:15:00 status half-installed debianutils:amd64 4.8.4
2019-12-16 13:15:00 status unpacked debianutils:amd64 4.8.4
2019-12-16 13:15:00 status unpacked debianutils:amd64 4.8.4
2019-12-16 13:15:00 install diffutils:amd64 <none> 1:3.6-1
2019-12-16 13:15:00 status half-installed diffutils:amd64 1:3.6-1
2019-12-16 13:15:00 status unpacked diffutils:amd64 1:3.6-1
2019-12-16 13:15:00 status unpacked diffutils:amd64 1:3.6-1
2019-12-16 13:15:00 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-12-16 13:15:00 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:15:00 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:15:01 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:15:01 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:15:01 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:15:01 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2019-12-16 13:15:01 install e2fsprogs:amd64 <none> 1.44.1-1
2019-12-16 13:15:01 status half-installed e2fsprogs:amd64 1.44.1-1
2019-12-16 13:15:02 status unpacked e2fsprogs:amd64 1.44.1-1
2019-12-16 13:15:02 status unpacked e2fsprogs:amd64 1.44.1-1
2019-12-16 13:15:02 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2019-12-16 13:15:02 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:03 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:03 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2019-12-16 13:15:03 install findutils:amd64 <none> 4.6.0+git+20170828-2
2019-12-16 13:15:03 status half-installed findutils:amd64 4.6.0+git+20170828-2
2019-12-16 13:15:03 status unpacked findutils:amd64 4.6.0+git+20170828-2
2019-12-16 13:15:03 status unpacked findutils:amd64 4.6.0+git+20170828-2
2019-12-16 13:15:03 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2019-12-16 13:15:03 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2019-12-16 13:15:03 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2019-12-16 13:15:03 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2019-12-16 13:15:04 install grep:amd64 <none> 3.1-2
2019-12-16 13:15:04 status half-installed grep:amd64 3.1-2
2019-12-16 13:15:04 status unpacked grep:amd64 3.1-2
2019-12-16 13:15:04 status unpacked grep:amd64 3.1-2
2019-12-16 13:15:04 install gzip:amd64 <none> 1.6-5ubuntu1
2019-12-16 13:15:04 status half-installed gzip:amd64 1.6-5ubuntu1
2019-12-16 13:15:04 status unpacked gzip:amd64 1.6-5ubuntu1
2019-12-16 13:15:04 status unpacked gzip:amd64 1.6-5ubuntu1
2019-12-16 13:15:04 install hostname:amd64 <none> 3.20
2019-12-16 13:15:04 status half-installed hostname:amd64 3.20
2019-12-16 13:15:04 status unpacked hostname:amd64 3.20
2019-12-16 13:15:05 status unpacked hostname:amd64 3.20
2019-12-16 13:15:05 install init-system-helpers:all <none> 1.51
2019-12-16 13:15:05 status half-installed init-system-helpers:all 1.51
2019-12-16 13:15:05 status unpacked init-system-helpers:all 1.51
2019-12-16 13:15:05 status unpacked init-system-helpers:all 1.51
2019-12-16 13:15:05 install libacl1:amd64 <none> 2.2.52-3build1
2019-12-16 13:15:05 status half-installed libacl1:amd64 2.2.52-3build1
2019-12-16 13:15:05 status unpacked libacl1:amd64 2.2.52-3build1
2019-12-16 13:15:05 status unpacked libacl1:amd64 2.2.52-3build1
2019-12-16 13:15:06 install libattr1:amd64 <none> 1:2.4.47-2build1
2019-12-16 13:15:06 status half-installed libattr1:amd64 1:2.4.47-2build1
2019-12-16 13:15:06 status unpacked libattr1:amd64 1:2.4.47-2build1
2019-12-16 13:15:06 status unpacked libattr1:amd64 1:2.4.47-2build1
2019-12-16 13:15:06 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2019-12-16 13:15:06 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2019-12-16 13:15:06 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-12-16 13:15:06 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
